UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Item01,Item02,Item03,Item04,Item05,Item06,Item07,Item08,Item09,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26
10169,10377538,non-gamified,Grupo Team 10,Apprentice,NA,2,2,1,2,2,4,2,5,1,6,2,2,2,2,5,1,2,6,2,2,3,6,4,3,7,2
10170,10260351,non-gamified,Grupo Team 6,Apprentice,NA,4,6,6,5,4,4,6,4,4,2,5,5,5,4,4,6,3,2,5,3,2,3,2,6,6,6
10171,698531,ont-gamified,Grupo Losvakai,Master,Yee Achiever,5,6,5,5,6,6,5,1,4,1,5,5,5,6,2,5,5,3,5,4,1,4,2,6,7,5
10172,10273971,ont-gamified,Grupo Koil,Master,Yee Achiever,6,6,7,6,6,6,5,3,4,2,5,4,5,4,3,3,2,4,5,5,2,6,3,5,5,5
10174,10276852,non-gamified,Grupo Team 1,Apprentice,NA,4,3,6,4,4,5,2,6,2,4,4,3,4,2,4,4,6,1,1,3,6,4,4,4,4,4
10175,10310700,non-gamified,Grupo Team 6,Master,NA,7,5,6,5,6,6,5,1,6,1,6,7,7,5,1,6,4,2,6,4,1,6,1,6,7,6
10176,10276949,non-gamified,Grupo Team 9,Apprentice,NA,3,3,4,3,3,3,4,5,3,6,6,3,3,3,4,3,4,1,3,3,5,4,4,3,3,3
10178,8656201,non-gamified,Grupo Team 11,Apprentice,NA,4,5,5,5,5,5,5,6,4,2,5,5,5,4,3,5,4,2,5,5,2,2,2,5,5,4
10179,10310759,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,4,6,5,4,4,5,5,3,2,3,4,4,5,3,2,5,5,2,4,4,3,1,3,6,6,5
10181,10276866,non-gamified,Grupo Team 7,Apprentice,NA,5,2,6,5,4,4,4,3,3,3,5,5,3,5,5,5,3,3,1,4,4,5,4,3,3,3
10183,10352030,non-gamified,Grupo Belos,Apprentice,Yee Socializer,4,5,5,2,3,5,3,4,3,6,3,3,4,4,4,3,4,2,5,2,4,3,3,5,4,3
10184,10276675,non-gamified,Grupo Team 7,Master,NA,5,6,6,6,6,6,6,1,6,2,6,6,6,6,3,6,4,3,4,6,2,6,3,7,6,4
10185,10276960,ont-gamified,Grupo Tosskor,Master,Yee Achiever,4,4,4,5,5,4,3,2,3,3,4,4,4,4,4,4,4,4,5,3,4,2,2,4,4,4
10186,10310551,non-gamified,Grupo Team 5,Apprentice,NA,1,5,1,4,6,7,4,4,4,4,3,3,7,5,1,7,5,1,1,4,3,4,1,7,7,6
10187,9790781,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,6,5,5,4,4,4,4,5,5,5,4,4,5,5,5,4,4,4,4,5,6,6,5,5,5,6
10188,10276995,ont-gamified,Grupo Paldira,Master,Yee Achiever,4,4,5,5,4,5,4,1,4,2,4,5,5,4,4,4,5,3,3,4,4,4,3,5,4,4
10189,9363926,non-gamified,Grupo Team 2,Apprentice,NA,1,2,2,1,2,1,1,7,1,7,1,1,1,1,2,1,1,1,1,2,7,2,7,1,3,1
10190,10276907,non-gamified,Grupo Team 8,Apprentice,NA,3,5,7,4,2,4,5,1,4,6,6,1,7,7,1,3,4,3,1,1,5,5,7,7,5,2
10191,10276981,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,6,7,7,6,7,6,7,2,4,1,5,6,6,6,4,5,6,2,7,6,2,4,1,7,7,7
10192,10276682,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,7,7,7,7,7,7,7,1,7,6,7,7,7,7,1,7,4,2,7,7,1,7,1,7,7,7
10193,10276762,non-gamified,Grupo Team 2,Master,NA,3,2,4,3,6,5,4,1,3,4,1,4,2,4,6,5,2,6,4,3,3,2,5,4,3,4
10196,10310655,non-gamified,Grupo Team 5,Apprentice,NA,4,7,3,1,3,7,4,4,4,7,4,4,4,5,4,5,4,6,4,4,5,4,3,2,4,5
10197,10276661,non-gamified,Grupo Team 11,Master,NA,7,5,5,5,4,5,4,4,4,1,3,4,5,3,4,4,5,1,2,4,3,3,5,4,6,3
10198,10310888,non-gamified,Grupo Team 1,Apprentice,NA,7,7,7,7,4,7,7,4,7,1,7,7,7,7,1,7,4,1,7,7,1,4,1,7,7,7
10200,9795272,non-gamified,Grupo Team 4,Apprentice,NA,5,5,6,5,3,6,4,3,4,5,4,4,6,5,3,5,5,2,4,4,3,5,2,6,5,5
10201,10276928,non-gamified,Grupo Team 10,Master,NA,4,7,5,4,5,6,4,4,3,3,6,5,6,6,2,5,6,3,5,5,2,6,3,6,6,6
10202,10277036,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,5,5,4,4,4,5,4,6,4,4,5,4,4,4,4,4,4,1,3,4,4,4,5,5,5,4
10203,9921470,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,7,7,4,7,7,7,7,1,7,1,7,7,7,7,1,7,7,1,7,7,1,7,1,7,7,7
10204,10310471,non-gamified,Grupo Team 5,Master,NA,7,6,7,6,7,7,7,1,4,2,7,7,7,7,3,7,5,4,7,7,1,7,1,7,5,6
